Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Present Value of Customer
JY27336,Oregon,8205.387936,No,Basic,College,2/22/11,Employed,F,85840,Rural,Married,102,14,79,2,4,Corporate Auto,Corporate L3,Offer2,Agent,138.722385,SUV,Medsize,7919.277615
PB54378,Oregon,19582.46887,No,Basic,Doctor,1/29/11,Medical Leave,F,26463,Suburban,Married,72,28,93,0,2,Corporate Auto,Corporate L2,Offer1,Branch,345.6,Four-Door Car,Medsize,6350.4
SV38190,Nevada,6481.526576,No,Extended,Bachelor,1/13/11,Employed,F,30689,Suburban,Married,81,23,51,0,5,Personal Auto,Personal L2,Offer4,Branch,467.24802,Four-Door Car,Medsize,3663.75198
CV24005,Oregon,2599.310879,No,Basic,High School or Below,2/13/11,Employed,M,29590,Suburban,Married,66,17,18,0,1,Corporate Auto,Corporate L3,Offer2,Agent,467.503236,Two-Door Car,Small,720.496764
EX28656,Oregon,9830.337629,No,Premium,College,02-10-2011,Employed,F,25965,Suburban,Divorced,253,15,59,0,1,Personal Auto,Personal L1,Offer2,Agent,1214.4,Luxury SUV,Medsize,13712.6
CF57022,Oregon,10442.65139,No,Extended,Bachelor,1/26/11,Medical Leave,M,17269,Suburban,Married,139,3,31,0,5,Personal Auto,Personal L1,Offer1,Branch,667.2,SUV,Small,3641.8
GM16780,Oregon,36057.53702,No,Extended,College,02-07-2011,Employed,M,90330,Rural,Single,137,0,86,3,2,Corporate Auto,Corporate L3,Offer1,Call Center,192.085299,Sports Car,Medsize,11589.914701
BX94438,California,8470.036773,No,Basic,High School or Below,01-07-2011,Unemployed,F,0,Suburban,Married,113,34,5,0,8,Corporate Auto,Corporate L2,Offer1,Call Center,619.973889,SUV,Medsize,-54.973888999999986
RM41745,California,8278.786492,No,Premium,High School or Below,1/18/11,Unemployed,F,0,Suburban,Married,110,20,66,0,7,Personal Auto,Personal L3,Offer1,Agent,1002.782553,Four-Door Car,Medsize,6257.217447
XR70252,California,4788.932598,No,Basic,High School or Below,2/22/11,Unemployed,F,0,Suburban,Married,67,2,49,1,3,Personal Auto,Personal L2,Offer2,Web,321.6,Two-Door Car,Medsize,2961.4
YH92099,Arizona,3087.999917,No,Extended,Bachelor,1/16/11,Disabled,F,18558,Suburban,Married,80,17,23,0,1,Special Auto,Special L1,Offer1,Agent,384.0,Four-Door Car,Medsize,1456.0
SG81493,Arizona,4443.736209,No,Premium,Bachelor,01-01-2011,Employed,M,46384,Rural,Married,113,33,93,0,1,Corporate Auto,Corporate L1,Offer2,Web,251.774574,Four-Door Car,Medsize,10257.225426
ZX23819,Oregon,7984.086473,No,Basic,High School or Below,02-10-2011,Unemployed,F,0,Suburban,Single,72,1,77,0,2,Personal Auto,Personal L3,Offer2,Call Center,866.208321,Two-Door Car,Large,4677.791679
FJ54907,Oregon,7180.971028,No,Basic,College,01-09-2011,Employed,F,42303,Suburban,Married,180,24,66,0,1,Personal Auto,Personal L2,Offer2,Agent,1210.920949,Luxury SUV,Medsize,10669.079051
CU26127,California,15656.03434,No,Extended,Bachelor,02-02-2011,Employed,F,71731,Urban,Single,130,12,50,0,2,Corporate Auto,Corporate L2,Offer1,Branch,599.648466,SUV,Medsize,5900.351534
YH60476,Oregon,5780.182197,Yes,Basic,High School or Below,2/26/11,Employed,M,51066,Suburban,Single,74,23,0,0,8,Corporate Auto,Corporate L3,Offer2,Call Center,787.993313,Four-Door Car,Medsize,-787.993313
ZZ97035,California,20714.94043,No,Extended,College,02-01-2011,Unemployed,M,0,Suburban,Single,203,20,66,0,2,Corporate Auto,Corporate L1,Offer1,Branch,2027.724442,Luxury Car,Small,11370.275558
GE82737,Nevada,5337.352409,No,Extended,Bachelor,2/14/11,Unemployed,F,0,Suburban,Single,86,19,93,3,5,Personal Auto,Personal L3,Offer1,Agent,619.2,Four-Door Car,Small,7378.8
KY21873,Arizona,5050.826183,No,Basic,College,2/25/11,Unemployed,M,0,Rural,Married,69,16,45,0,6,Personal Auto,Personal L1,Offer3,Agent,72.852047,Two-Door Car,Medsize,3032.147953
UA51318,Arizona,5116.624022,No,Basic,High School or Below,2/17/11,Employed,F,26173,Suburban,Single,68,2,10,1,9,Corporate Auto,Corporate L1,Offer2,Web,449.819671,Four-Door Car,Medsize,230.18032899999997
BV55014,Oregon,7268.736958,No,Basic,Bachelor,02-08-2011,Employed,M,24445,Suburban,Single,63,18,15,0,2,Personal Auto,Personal L3,Offer1,Agent,302.4,Two-Door Car,Medsize,642.6
HX21307,Oregon,2616.613903,Yes,Basic,College,2/25/11,Employed,M,72302,Suburban,Divorced,66,6,27,0,1,Personal Auto,Personal L3,Offer1,Agent,316.8,Two-Door Car,Medsize,1465.2
LQ68252,Oregon,3738.436222,No,Basic,High School or Below,02-11-2011,Retired,M,27208,Suburban,Single,102,10,65,0,1,Personal Auto,Personal L2,Offer1,Web,489.6,SUV,Medsize,6140.4
CR92802,California,2725.356404,Yes,Basic,Master,01-03-2011,Employed,F,36650,Rural,Married,69,2,70,1,1,Special Auto,Special L2,Offer2,Web,56.60333,Four-Door Car,Large,4773.39667
SL35268,Arizona,5453.861203,No,Basic,College,01-04-2011,Employed,M,30855,Urban,Married,68,7,15,0,7,Corporate Auto,Corporate L3,Offer2,Web,259.060862,Four-Door Car,Medsize,760.939138
RD62882,Arizona,6846.150323,Yes,Extended,Bachelor,1/27/11,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large,1444.0
JS42382,Oregon,6172.914199,No,Extended,Master,1/27/11,Employed,M,99960,Suburban,Married,76,19,83,0,4,Corporate Auto,Corporate L3,Offer1,Agent,364.8,Four-Door Car,Small,5943.2
BT30554,Arizona,10346.32454,No,Extended,Bachelor,2/13/11,Unemployed,F,0,Suburban,Single,98,1,15,0,2,Personal Auto,Personal L3,Offer1,Agent,470.4,Four-Door Car,Large,999.6
VP57424,Nevada,6997.008618,No,Extended,Bachelor,01-08-2011,Employed,F,55873,Urban,Married,88,30,19,0,6,Personal Auto,Personal L2,Offer2,Agent,299.356083,Four-Door Car,Small,1372.6439169999999
VU19243,Arizona,4196.257691,No,Premium,High School or Below,2/26/11,Medical Leave,F,18052,Suburban,Divorced,111,5,71,0,1,Personal Auto,Personal L1,Offer3,Web,699.1679,Four-Door Car,Medsize,7181.8321
TA82973,Oregon,7858.109763,No,Basic,High School or Below,02-01-2011,Employed,F,28937,Rural,Divorced,104,28,23,2,6,Personal Auto,Personal L3,Offer1,Call Center,117.959654,SUV,Medsize,2274.0403459999998
GK71720,Oregon,6064.343994,No,Extended,High School or Below,1/16/11,Unemployed,F,0,Suburban,Single,86,34,80,0,5,Personal Auto,Personal L3,Offer1,Call Center,545.240341,Four-Door Car,Medsize,6334.759659
OQ61223,California,17497.52201,Yes,Basic,College,2/28/11,Unemployed,M,0,Suburban,Divorced,73,9,94,0,2,Personal Auto,Personal L2,Offer1,Agent,350.4,Two-Door Car,Medsize,6511.6
LL62746,Oregon,8970.647312,No,Basic,Doctor,02-06-2011,Medical Leave,M,12829,Urban,Married,118,33,1,0,9,Personal Auto,Personal L1,Offer2,Call Center,328.231432,SUV,Medsize,-210.23143199999998
JQ56711,Oregon,5923.117229,No,Basic,Master,02-02-2011,Employed,F,92163,Rural,Married,73,3,79,0,6,Personal Auto,Personal L3,Offer3,Web,66.568642,Two-Door Car,Medsize,5700.431358
AW77988,Oregon,35850.59935,No,Basic,High School or Below,01-06-2011,Disabled,M,17588,Suburban,Single,192,24,92,0,2,Personal Auto,Personal L1,Offer1,Web,1382.4,Luxury Car,Medsize,16281.6
HF75891,Washington,4331.460674,No,Basic,High School or Below,02-11-2011,Employed,F,82302,Suburban,Married,106,11,92,0,1,Personal Auto,Personal L2,Offer1,Branch,722.178166,SUV,Medsize,9029.821834
MY97912,Arizona,13309.33517,No,Extended,College,1/13/11,Unemployed,M,0,Suburban,Divorced,127,19,40,0,2,Personal Auto,Personal L3,Offer1,Call Center,609.6,SUV,Medsize,4470.4
IB87349,California,4528.50489,No,Premium,High School or Below,2/25/11,Employed,M,70340,Suburban,Married,113,5,56,0,1,Special Auto,Special L2,Offer1,Agent,542.4,Four-Door Car,Small,5785.6
AW73065,Oregon,2791.906514,No,Basic,High School or Below,02-06-2011,Unemployed,F,0,Suburban,Single,74,35,59,0,1,Personal Auto,Personal L1,Offer1,Agent,532.8,Four-Door Car,Small,3833.2
HI74419,Washington,8092.87696,Yes,Basic,College,02-05-2011,Employed,M,50825,Urban,Married,102,3,46,0,3,Personal Auto,Personal L2,Offer1,Agent,369.614729,SUV,Medsize,4322.385271
PX70175,Arizona,7996.00748,No,Extended,College,1/19/11,Employed,M,93459,Suburban,Married,99,9,85,0,5,Personal Auto,Personal L3,Offer2,Web,655.41333,Four-Door Car,Medsize,7759.58667
KF75098,Arizona,5129.738992,No,Basic,Bachelor,1/25/11,Employed,M,86148,Suburban,Married,65,19,51,2,4,Personal Auto,Personal L3,Offer4,Agent,312.0,Four-Door Car,Small,3003.0
IS50283,California,5697.175238,No,Basic,Bachelor,1/17/11,Employed,F,27048,Suburban,Married,72,5,85,0,4,Corporate Auto,Corporate L3,Offer3,Agent,345.6,Four-Door Car,Medsize,5774.4
MY64920,Oregon,9217.130629,No,Basic,College,2/27/11,Employed,F,73259,Suburban,Married,115,7,31,0,4,Personal Auto,Personal L2,Offer4,Web,673.34265,SUV,Medsize,2891.65735
KN34250,Oregon,10208.92761,Yes,Extended,College,2/14/11,Employed,F,35482,Suburban,Married,129,21,59,0,3,Corporate Auto,Corporate L2,Offer1,Branch,619.2,SUV,Medsize,6991.8
GN46207,Oregon,4170.687348,Yes,Basic,Master,1/17/11,Employed,F,29462,Suburban,Single,107,28,23,1,1,Personal Auto,Personal L3,Offer2,Branch,513.6,SUV,Large,1947.4
KL57176,Oregon,4505.405812,No,Basic,College,2/15/11,Employed,F,67801,Rural,Divorced,115,12,45,1,1,Personal Auto,Personal L3,Offer3,Web,23.810491,SUV,Medsize,5151.189509
MN94234,California,3107.568648,No,Extended,High School or Below,1/19/11,Unemployed,M,0,Suburban,Married,94,34,59,4,1,Personal Auto,Personal L3,Offer1,Branch,451.2,Two-Door Car,Medsize,5094.8
JY90595,Arizona,5528.664986,No,Basic,High School or Below,02-07-2011,Medical Leave,M,16042,Suburban,Married,73,33,58,0,9,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,3883.6
HK26543,California,5045.866663,No,Basic,High School or Below,1/27/11,Employed,M,28056,Suburban,Married,64,32,41,1,8,Personal Auto,Personal L3,Offer1,Branch,307.2,Four-Door Car,Medsize,2316.8
PN86062,California,2962.722482,No,Extended,High School or Below,01-09-2011,Medical Leave,M,16495,Suburban,Married,85,25,75,3,1,Corporate Auto,Corporate L2,Offer1,Branch,408.0,Four-Door Car,Medsize,5967.0
VW27730,California,8665.956372,No,Basic,Master,02-08-2011,Employed,F,41163,Rural,Married,108,11,66,0,3,Corporate Auto,Corporate L2,Offer1,Branch,231.922173,SUV,Small,6896.077827
SH55671,Arizona,11413.44115,No,Premium,College,02-06-2011,Unemployed,F,0,Suburban,Married,161,3,71,1,9,Personal Auto,Personal L3,Offer1,Branch,772.8,Sports Car,Small,10658.2
MO56878,California,15488.43196,No,Basic,Bachelor,01-05-2011,Employed,M,33799,Suburban,Single,109,28,52,3,2,Corporate Auto,Corporate L3,Offer2,Agent,664.980242,SUV,Small,5003.019758
QP80741,Washington,6048.574243,No,Basic,College,01-01-2011,Unemployed,F,0,Suburban,Married,61,17,71,3,2,Corporate Auto,Corporate L1,Offer3,Agent,292.8,Four-Door Car,Medsize,4038.2
SV35618,Oregon,5934.741492,No,Premium,Bachelor,2/28/11,Employed,F,87747,Rural,Divorced,147,3,87,1,1,Personal Auto,Personal L2,Offer2,Agent,46.492039,SUV,Small,12742.507961
RX12347,Nevada,3543.232138,No,Extended,College,02-09-2011,Employed,M,35695,Suburban,Married,90,2,7,0,1,Personal Auto,Personal L2,Offer4,Branch,432.0,Four-Door Car,Medsize,198.0
FR55658,California,3490.028304,No,Extended,Master,1/27/11,Employed,M,90985,Rural,Divorced,87,33,39,0,1,Personal Auto,Personal L2,Offer1,Branch,78.085149,Four-Door Car,Medsize,3314.914851
XS12556,California,3683.099864,No,Basic,College,01-06-2011,Unemployed,F,0,Suburban,Married,101,19,16,0,1,Corporate Auto,Corporate L2,Offer4,Call Center,564.466556,Sports Car,Medsize,1051.5334440000001
ZU73588,California,5989.773931,Yes,Premium,College,1/19/11,Employed,M,66839,Suburban,Single,154,33,24,0,1,Personal Auto,Personal L3,Offer2,Branch,739.2,Sports Car,Medsize,2956.8
WT43034,California,12500.84302,No,Premium,High School or Below,1/15/11,Unemployed,F,0,Suburban,Married,165,16,43,0,3,Personal Auto,Personal L3,Offer3,Call Center,792.0,SUV,Medsize,6303.0
VM13430,Oregon,8609.158215,Yes,Basic,Bachelor,1/14/11,Employed,F,79090,Urban,Married,107,2,74,0,3,Corporate Auto,Corporate L3,Offer2,Branch,289.040734,SUV,Medsize,7628.959266
TC78849,Oregon,2497.45507,No,Basic,Bachelor,02-12-2011,Employed,M,24825,Rural,Married,64,34,44,0,1,Personal Auto,Personal L3,Offer2,Branch,155.938593,Two-Door Car,Medsize,2660.061407
VC34764,California,7019.177186,Yes,Basic,College,1/23/11,Retired,M,26806,Suburban,Married,63,32,19,0,2,Personal Auto,Personal L2,Offer1,Agent,302.4,Four-Door Car,Medsize,894.6
WO90953,Oregon,5387.926265,No,Basic,College,1/21/11,Employed,F,56835,Suburban,Married,67,25,16,0,3,Personal Auto,Personal L3,Offer1,Branch,326.549425,Two-Door Car,Small,745.4505750000001
IU47468,Oregon,6165.557517,No,Extended,Bachelor,1/24/11,Unemployed,F,0,Suburban,Single,88,12,54,0,6,Special Auto,Special L2,Offer3,Web,653.65668,Two-Door Car,Small,4098.34332
KO46064,California,2730.20294,No,Basic,Bachelor,2/25/11,Employed,M,46135,Rural,Married,69,12,68,0,1,Personal Auto,Personal L3,Offer1,Agent,103.935601,Four-Door Car,Medsize,4588.064399
RB34917,Arizona,5162.116944,No,Basic,Bachelor,01-03-2011,Unemployed,F,0,Suburban,Single,73,21,87,0,4,Personal Auto,Personal L2,Offer2,Branch,809.532341,Four-Door Car,Small,5541.467659
BI38192,Oregon,7937.064822,No,Basic,High School or Below,02-01-2011,Employed,F,22862,Suburban,Married,67,9,40,0,2,Personal Auto,Personal L3,Offer2,Agent,321.6,Two-Door Car,Medsize,2358.4
PU18983,Oregon,8608.157233,No,Basic,High School or Below,02-04-2011,Employed,F,21450,Suburban,Divorced,110,8,80,2,3,Personal Auto,Personal L1,Offer1,Call Center,528.0,Sports Car,Small,8272.0
SW79912,Oregon,2632.545795,No,Basic,Bachelor,1/22/11,Employed,M,95854,Suburban,Married,65,16,78,0,1,Personal Auto,Personal L3,Offer2,Agent,312.0,Two-Door Car,Small,4758.0
ES39217,Oregon,7785.004214,No,Extended,Bachelor,2/19/11,Employed,F,44897,Suburban,Married,99,22,46,1,7,Personal Auto,Personal L1,Offer4,Web,580.72531,Four-Door Car,Small,3973.27469
OY51402,Washington,8255.76385,No,Basic,High School or Below,1/14/11,Employed,F,54040,Rural,Married,103,14,88,0,4,Personal Auto,Personal L2,Offer1,Agent,59.987126,SUV,Medsize,9004.012874
UA19178,Oregon,4980.825042,No,Basic,Master,02-10-2011,Employed,F,53265,Urban,Married,62,12,27,0,3,Personal Auto,Personal L2,Offer2,Call Center,238.005074,Four-Door Car,Small,1435.994926
PR53785,Arizona,7457.237794,No,Basic,High School or Below,2/22/11,Unemployed,F,0,Suburban,Married,198,18,55,1,1,Personal Auto,Personal L3,Offer1,Branch,1577.674417,Luxury Car,Small,9312.325583
RJ85627,Washington,12302.76244,No,Basic,Bachelor,01-05-2011,Employed,F,43817,Urban,Married,62,25,12,1,2,Personal Auto,Personal L3,Offer3,Branch,245.447622,Four-Door Car,Medsize,498.552378
CN90378,California,6862.508337,No,Extended,High School or Below,2/27/11,Employed,F,54780,Rural,Married,88,22,72,3,5,Personal Auto,Personal L3,Offer1,Agent,135.26125,Four-Door Car,Large,6200.73875
KI56154,Nevada,9048.983447,Yes,Basic,High School or Below,1/24/11,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Personal L1,Offer2,Web,571.2,Sports Car,Medsize,380.79999999999995
UI55951,California,5548.031892,Yes,Basic,Bachelor,1/13/11,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Personal Auto,Personal L1,Offer1,Agent,331.2,Four-Door Car,Medsize,5050.8
FF28650,Oregon,8312.681598,No,Basic,Bachelor,01-03-2011,Retired,M,21442,Suburban,Divorced,118,32,84,0,3,Personal Auto,Personal L3,Offer2,Web,566.4,SUV,Medsize,9345.6
FS55302,California,2389.980951,No,Basic,Bachelor,2/17/11,Employed,M,27615,Suburban,Married,62,19,18,1,1,Personal Auto,Personal L3,Offer3,Call Center,297.6,Four-Door Car,Medsize,818.4
TN79487,California,4458.113369,Yes,Basic,Bachelor,01-02-2011,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L3,Offer1,Agent,312.0,Four-Door Car,Medsize,2028.0
HG32616,Nevada,5295.741716,No,Extended,High School or Below,2/25/11,Employed,M,50200,Urban,Divorced,135,23,98,0,1,Personal Auto,Personal L3,Offer1,Agent,637.063458,Sports Car,Medsize,12592.936542
UK41984,Arizona,3839.606117,No,Basic,Doctor,2/21/11,Unemployed,F,0,Suburban,Divorced,112,3,51,2,1,Personal Auto,Personal L2,Offer1,Agent,537.6,SUV,Medsize,5174.4
LZ52266,California,3731.504584,Yes,Extended,High School or Below,2/24/11,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Large,2803.2
PM27367,California,2778.903705,No,Basic,Master,2/27/11,Employed,F,73570,Rural,Single,70,0,46,1,1,Special Auto,Special L3,Offer2,Branch,75.936096,Two-Door Car,Medsize,3144.063904
ZK21724,Oregon,4016.541995,No,Basic,High School or Below,02-10-2011,Unemployed,F,0,Suburban,Single,111,4,85,0,1,Personal Auto,Personal L1,Offer3,Call Center,799.2,SUV,Large,8635.8
QV59143,Washington,8236.917193,No,Premium,High School or Below,02-02-2011,Unemployed,F,0,Suburban,Married,106,11,15,0,6,Special Auto,Special L2,Offer1,Web,603.058114,Four-Door Car,Large,986.941886
QE22757,Nevada,2491.317024,Yes,Basic,Doctor,1/29/11,Employed,M,36631,Rural,Divorced,62,30,77,0,1,Personal Auto,Personal L3,Offer1,Agent,67.530904,Four-Door Car,Large,4706.469096
ON77649,Oregon,2908.875917,No,Basic,College,1/29/11,Employed,F,35895,Urban,Married,73,11,51,0,1,Personal Auto,Personal L3,Offer2,Agent,312.921256,Four-Door Car,Medsize,3410.078744
RN82884,Arizona,4282.947971,Yes,Basic,College,2/26/11,Employed,F,40864,Rural,Married,109,16,70,1,1,Personal Auto,Personal L3,Offer1,Agent,166.937747,SUV,Medsize,7463.062253
CQ75652,Oregon,8341.623748,No,Premium,College,01-08-2011,Unemployed,M,0,Suburban,Divorced,118,15,77,0,4,Personal Auto,Personal L2,Offer1,Agent,566.4,Four-Door Car,Medsize,8519.6
FF58467,Arizona,5090.781344,No,Basic,Master,02-05-2011,Employed,F,93018,Rural,Divorced,63,5,90,0,3,Personal Auto,Personal L3,Offer3,Call Center,135.382194,Four-Door Car,Medsize,5534.617806
BS83666,Oregon,7366.1883,No,Basic,Bachelor,2/13/11,Employed,M,70014,Rural,Divorced,62,6,4,0,2,Corporate Auto,Corporate L3,Offer1,Agent,17.742954,Four-Door Car,Large,230.257046
WO29605,Oregon,2436.875126,No,Basic,College,2/25/11,Employed,F,48875,Rural,Married,61,20,9,0,1,Personal Auto,Personal L1,Offer1,Call Center,1.838367,Two-Door Car,Small,547.161633
TL77607,California,8852.688689,No,Basic,Bachelor,02-05-2011,Employed,M,67969,Urban,Married,74,11,14,0,2,Personal Auto,Personal L3,Offer3,Branch,197.776009,Four-Door Car,Medsize,838.2239910000001
EZ50606,Oregon,23875.47675,No,Basic,High School or Below,2/14/11,Unemployed,F,0,Suburban,Married,108,8,55,0,2,Corporate Auto,Corporate L3,Offer4,Web,612.102262,SUV,Medsize,5327.897738
OS39723,Oregon,5600.496541,No,Basic,Doctor,1/23/11,Employed,F,68665,Suburban,Married,69,33,67,0,7,Personal Auto,Personal L3,Offer3,Call Center,331.2,Two-Door Car,Small,4291.8
FN69743,California,4636.54647,Yes,Basic,College,01-01-2011,Retired,M,26802,Suburban,Married,66,7,43,1,5,Corporate Auto,Corporate L1,Offer2,Agent,316.8,Two-Door Car,Medsize,2521.2
XW96958,Nevada,7573.345057,No,Premium,High School or Below,2/20/11,Unemployed,M,0,Suburban,Single,110,6,37,0,6,Corporate Auto,Corporate L3,Offer1,Agent,1193.036154,Four-Door Car,Large,2876.963846
TU92578,California,14696.63549,No,Extended,College,1/29/11,Employed,M,45345,Suburban,Married,125,0,73,0,2,Personal Auto,Personal L1,Offer1,Agent,600.0,SUV,Medsize,8525.0
IJ50779,Washington,12298.6863,Yes,Basic,High School or Below,2/20/11,Medical Leave,M,17101,Suburban,Single,113,1,88,0,2,Personal Auto,Personal L3,Offer1,Call Center,542.4,SUV,Medsize,9401.6
YE68736,California,7724.840065,No,Premium,Bachelor,02-07-2011,Employed,F,32051,Suburban,Married,193,4,40,1,1,Personal Auto,Personal L3,Offer1,Call Center,926.4,SUV,Medsize,6793.6
OB96537,Oregon,5946.670679,No,Basic,Master,2/22/11,Employed,M,81139,Suburban,Divorced,74,22,69,0,3,Special Auto,Special L2,Offer1,Web,392.6364,Four-Door Car,Medsize,4713.3636
EU68825,Oregon,8000.545061,No,Basic,Master,01-02-2011,Employed,F,63834,Rural,Married,100,23,19,1,3,Personal Auto,Personal L3,Offer4,Agent,215.226476,Sports Car,Small,1684.773524
CC31456,Arizona,6457.560953,No,Extended,Bachelor,01-05-2011,Employed,M,37548,Rural,Married,81,12,9,0,3,Special Auto,Special L2,Offer2,Web,160.598662,Four-Door Car,Medsize,568.401338
DJ77787,Arizona,7281.44014,No,Basic,High School or Below,01-07-2011,Unemployed,F,0,Suburban,Married,69,28,28,3,2,Personal Auto,Personal L2,Offer3,Call Center,371.803029,Four-Door Car,Medsize,1560.196971
LN26837,California,2592.437797,Yes,Basic,High School or Below,01-02-2011,Employed,M,72421,Suburban,Married,65,8,23,0,1,Personal Auto,Personal L2,Offer2,Call Center,312.0,Four-Door Car,Small,1183.0
YI92916,Nevada,4678.423394,No,Premium,Master,1/17/11,Employed,M,83102,Urban,Married,116,15,35,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,443.670399,Four-Door Car,Small,3616.329601
NW54906,Oregon,13869.92705,Yes,Basic,College,1/21/11,Employed,M,28432,Suburban,Married,118,1,59,0,2,Personal Auto,Personal L3,Offer2,Branch,612.300581,SUV,Small,6349.6994190000005
ME77513,Nevada,8717.777831,No,Premium,Master,2/22/11,Employed,F,83707,Urban,Married,108,2,72,0,7,Corporate Auto,Corporate L3,Offer1,Agent,290.391526,Four-Door Car,Medsize,7485.608474
UK76891,California,5233.986808,No,Basic,College,02-04-2011,Employed,F,63259,Suburban,Married,65,25,14,0,7,Corporate Auto,Corporate L3,Offer1,Agent,316.795337,Four-Door Car,Medsize,593.204663
SI26888,Nevada,4764.189722,No,Basic,High School or Below,02-07-2011,Unemployed,F,0,Suburban,Single,67,18,73,0,8,Personal Auto,Personal L3,Offer1,Web,405.527937,Four-Door Car,Medsize,4485.472063
YD74948,Oregon,2472.469209,Yes,Basic,College,1/20/11,Employed,F,63860,Urban,Married,62,26,81,0,1,Personal Auto,Personal L3,Offer2,Agent,208.598246,Four-Door Car,Medsize,4813.401754
CA86085,Washington,5608.316348,No,Basic,High School or Below,2/22/11,Employed,M,67176,Suburban,Single,72,20,90,0,9,Personal Auto,Personal L3,Offer2,Branch,345.6,Four-Door Car,Large,6134.4
BW52697,California,5505.057003,No,Basic,College,01-01-2011,Employed,F,86132,Urban,Married,68,30,10,0,3,Personal Auto,Personal L3,Offer2,Call Center,301.437365,Two-Door Car,Medsize,378.562635
NL41409,Oregon,2606.208503,No,Basic,Bachelor,2/14/11,Employed,F,28519,Suburban,Married,66,1,56,0,1,Personal Auto,Personal L3,Offer2,Web,456.473115,Two-Door Car,Large,3239.526885
OD69005,Arizona,10481.94383,No,Extended,High School or Below,1/28/11,Employed,F,39102,Rural,Married,88,11,98,0,2,Personal Auto,Personal L3,Offer3,Agent,152.338562,Four-Door Car,Medsize,8471.661438
ZZ91716,California,3256.766388,No,Extended,Bachelor,1/22/11,Unemployed,F,0,Suburban,Married,89,17,56,0,1,Personal Auto,Personal L3,Offer2,Web,491.755368,Four-Door Car,Small,4492.244632
UK70255,California,30475.78048,No,Extended,College,1/30/11,Employed,F,97298,Rural,Single,128,16,38,0,2,Personal Auto,Personal L3,Offer4,Web,48.517439,Sports Car,Medsize,4815.482561
QT25383,Nevada,6364.902164,No,Extended,High School or Below,1/18/11,Employed,M,41986,Suburban,Single,84,25,31,2,5,Personal Auto,Personal L3,Offer1,Branch,430.375049,Two-Door Car,Small,2173.624951
AW18068,Arizona,9468.509337,No,Extended,High School or Below,2/22/11,Unemployed,M,0,Suburban,Single,88,6,47,0,2,Personal Auto,Personal L1,Offer1,Agent,633.6,Two-Door Car,Medsize,3502.4
NS45347,Oregon,5631.451866,No,Basic,College,01-03-2011,Medical Leave,F,17291,Suburban,Married,73,3,25,0,5,Personal Auto,Personal L2,Offer1,Agent,350.4,Four-Door Car,Medsize,1474.6
FV19421,California,7780.999262,No,Basic,Bachelor,01-10-2011,Unemployed,M,0,Urban,Married,74,0,52,0,2,Personal Auto,Personal L1,Offer1,Branch,246.489123,Four-Door Car,Medsize,3601.510877
XW89091,California,9816.528302,Yes,Basic,College,1/28/11,Employed,M,37256,Rural,Married,62,15,7,0,2,Personal Auto,Personal L3,Offer1,Branch,128.969729,Four-Door Car,Medsize,305.03027099999997
YC11951,Oregon,7519.133631,Yes,Extended,High School or Below,2/20/11,Employed,M,96306,Rural,Divorced,95,12,17,1,6,Corporate Auto,Corporate L2,Offer1,Agent,185.355353,Four-Door Car,Medsize,1429.644647
UY18770,California,10179.71704,Yes,Premium,Bachelor,01-05-2011,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize,9539.2
RA49085,California,2772.839235,No,Basic,College,2/28/11,Employed,F,37038,Rural,Married,71,6,97,1,1,Corporate Auto,Corporate L3,Offer4,Branch,9.071305,Four-Door Car,Large,6877.928695
BG84194,Oregon,4037.501846,No,Basic,College,2/18/11,Employed,M,90760,Rural,Married,103,5,7,2,1,Special Auto,Special L3,Offer2,Branch,133.475315,SUV,Medsize,587.524685
GM62071,Washington,21435.87782,No,Basic,High School or Below,01-07-2011,Employed,F,20668,Suburban,Married,188,34,54,3,2,Personal Auto,Personal L3,Offer2,Call Center,902.4,Luxury Car,Large,9249.6
MR67738,Oregon,2676.867914,No,Basic,High School or Below,02-04-2011,Employed,F,54480,Suburban,Married,67,19,91,0,1,Personal Auto,Personal L1,Offer2,Branch,321.6,Four-Door Car,Small,5775.4
DM95829,California,2523.959554,No,Basic,College,2/24/11,Medical Leave,M,16244,Suburban,Married,68,4,85,0,1,Personal Auto,Personal L3,Offer4,Call Center,623.223617,Two-Door Car,Medsize,5156.776383
